CC catalog number,Author / Creator,Contributor - reconciled,Union List of Artist Names ID,Library of Congress authority ID,Contributor Wikidata QID,Contributor family name,Contributor given name,Contributor dates,Contributor death year,Contributor birth year,Contributor nationality,Contributor role
4,"Galle, Philip, 1537-1612, Flemish [engraver]",Philip Galle,500016136,n86862363,Q1379395,Galle,Philip,1537-1612,1612,1537,Flemish,engraver
4,"Stradanus, 1523-1605, Flemish [artist]",Stradanus,500011304,n84804240,Q143595,Stradanus,,1523-1605,1605,1523,Flemish,artist
61,"Kohl, Andreas, 1624-1657, German [engraver]",Andreas Kohl,500056108,,Q18511523,Kohl,Andreas,1624-1657,1657,1624,German,engraver
61,"Strauch, Georg, 1613-1675, German [artist]",Georg Strauch,500046253,no2001031904,Q30303204,Strauch,Georg,1613-1675,1675,1613,German,artist
37,"Dürer, Albrecht, 1471-1528, German [artist]",Albrecht Dürer,500115493,n79118011,Q5580,Dürer,Albrecht,1471-1528,1528,1471,German,artist
37,"Marcantonio (Raimondi), c.1480-c.1534, Italian [engraver (printmaker)]",Marcantonio Raimondi,500030773,n82045036,Q728375,Marcantonio (Raimondi),,c.1480-c.1534,,,Italian,engraver (printmaker)
18,"Passe I, Crispijn van de, 1565-1637, Dutch [engraver]",Crispijn van de Passe the Elder,500003330,n85225189,Q140096,Passe I,Crispijn van de,1565-1637,1637,1565,Dutch,engraver
3,"Coornhert, Dirck Volckertsz, 1522-1590, Dutch [engraver]",Dirck Volckertszoon Coornhert,500030183,n85310127,Q765465,Coornhert,Dirck Volckertsz,1522-1590,1590,1522,Dutch,engraver
3,"Cort, Cornelis, 1533-before 1578, Flemish [engraver]",Cornelis Cort,500011556,nr95000677,Q167220,Cort,Cornelis,1533-before 1578,,1533,Flemish,engraver
3,"Heemskerck, Martin van, 1498-1574, Dutch [artist]",Maarten van Heemskerck,500124291,n50059018,Q538350,Heemskerck,Martin van,1498-1574,1574,1498,Dutch,artist
1,"Galle, Philip, 1537-1612, Flemish [engraver]",Philip Galle,500016136,n86862363,Q1379395,Galle,Philip,1537-1612,1612,1537,Flemish,engraver
1,"Heemskerck, Martin van, 1498-1574, Dutch [artist]",Maarten van Heemskerck,500124291,n50059018,Q538350,Heemskerck,Martin van,1498-1574,1574,1498,Dutch,artist
38,"Fleischmann, Friedrich, 1791-1834, German [etcher]",Friedrich Fleischmann,500075009,no2006121397,Q4491034,Fleischmann,Friedrich,1791-1834,1834,1791,German,etcher
38,"Berger Desoras, Jenny [artist]",Jenny Berger-Désoras,500165578,,Q97477673,Berger Desoras,Jenny,,,,,artist
